LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9012,0.850313,0.022333,1.955770553,0.67912856,-1.627758894,0.01859694,0.007131405,0.523888315,LOW,HIGH,LOWHIGH,3,2
9013,2.40555,0.0217,1.955770553,0.67912856,0.662289106,0.01859694,0.007131405,0.435126004,HIGH,HIGH,HIGHHIGH,1,1
9014,2.30633,0.021781,1.955770553,0.67912856,0.516190111,0.01859694,0.007131405,0.446484215,HIGH,HIGH,HIGHHIGH,1,1
9015,0.635194,0.030227,1.955770553,0.67912856,-1.944516299,0.01859694,0.007131405,1.630823043,LOW,HIGH,LOWHIGH,3,2
9016,2.45843,0.022062,1.955770553,0.67912856,0.740153598,0.01859694,0.007131405,0.485887389,HIGH,HIGH,HIGHHIGH,1,1
9017,0.803672,0.015999,1.955770553,0.67912856,-1.696436613,0.01859694,0.007131405,-0.364295693,LOW,LOW,LOWLOW,4,3
9018,2.36354,0.021834,1.955770553,0.67912856,0.600430421,0.01859694,0.007131405,0.45391613,HIGH,HIGH,HIGHHIGH,1,1
9019,2.26331,0.022252,1.955770553,0.67912856,0.452844226,0.01859694,0.007131405,0.512530105,HIGH,HIGH,HIGHHIGH,1,1
9020,2.3159,0.022593,1.955770553,0.67912856,0.530281699,0.01859694,0.007131405,0.560346768,HIGH,HIGH,HIGHHIGH,1,1
9021,2.20237,0.014316,1.955770553,0.67912856,0.363111584,0.01859694,0.007131405,-0.600294065,HIGH,LOW,HIGHLOW,2,4
9022,2.2674,0.022595,1.955770553,0.67912856,0.458866649,0.01859694,0.007131405,0.560627218,HIGH,HIGH,HIGHHIGH,1,1
9023,0.724255,0.025507,1.955770553,0.67912856,-1.81337618,0.01859694,0.007131405,0.968961893,LOW,HIGH,LOWHIGH,3,2
9024,1.98121,0.021554,1.955770553,0.67912856,0.037458956,0.01859694,0.007131405,0.414653181,HIGH,HIGH,HIGHHIGH,1,1
9025,2.25252,0.021003,1.955770553,0.67912856,0.436956218,0.01859694,0.007131405,0.337389305,HIGH,HIGH,HIGHHIGH,1,1
9026,2.41504,0.022106,1.955770553,0.67912856,0.676262896,0.01859694,0.007131405,0.492057281,HIGH,HIGH,HIGHHIGH,1,1
9027,0.731739,0.019329,1.955770553,0.67912856,-1.802356176,0.01859694,0.007131405,0.102652957,LOW,HIGH,LOWHIGH,3,2
9028,1.83622,0.021734,1.955770553,0.67912856,-0.176035232,0.01859694,0.007131405,0.439893648,LOW,HIGH,LOWHIGH,3,2
